"Table 4","","","","","","","","","","","","",""
"January to June 2017–2018","","","","","","","","","","","","",""
"Offenses Reported to Law Enforcement ","","","","","","","","","","","","",""
"by State by City 100,000 and over in population","","","","","","","","","","","","",""
"Montana through Ohio","","","","","","","","","","","","",""
"State","City","","Population1","Violent 
crime","Murder","Rape2","Robbery","Aggravated 
assault","Property 
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson3"
"","","2018.0","","","13.0","","276.0","469.0","4439.0","1104.0","3008.0","327.0","19.0"
"","GREENSBORO","2017.0","290051.0","","19.0","","321.0","635.0","4788.0","999.0","3436.0","353.0","60.0"
"","","2018.0","","","24.0","","258.0","554.0","4615.0","945.0","3335.0","335.0","53.0"
"","WILMINGTON","2017.0","119422.0","","11.0","","92.0","224.0","2014.0","459.0","1440.0","115.0","4.0"
"","","2018.0","","","4.0","","59.0","236.0","1439.0","377.0","966.0","96.0","4.0"
"NORTH DAKOTA","FARGO","2017.0","123430.0","209.0","2.0","47.0","29.0","131.0","1823.0","220.0","1469.0","134.0","5.0"
"","","2018.0","","252.0","2.0","50.0","33.0","167.0","1826.0","318.0","1361.0","147.0","5.0"
"OHIO","AKRON","2017.0","197412.0","674.0","25.0","119.0","193.0","337.0","3915.0","1060.0","2479.0","376.0","66.0"
"","","2018.0","","746.0","12.0","105.0","169.0","460.0","3340.0","796.0","2185.0","359.0","27.0"
"","CINCINNATI","2017.0","299116.0","1389.0","33.0","156.0","601.0","599.0","7305.0","1790.0","4806.0","709.0","0.0"
"","","2018.0","","1118.0","31.0","134.0","414.0","539.0","6566.0","1389.0","4502.0","675.0","1.0"
"","CLEVELAND","2017.0","385351.0","2575.0","44.0","241.0","1111.0","1179.0","9114.0","2929.0","4494.0","1691.0","141.0"
"","","2018.0","","2796.0","39.0","224.0","887.0","1646.0","7830.0","2061.0","4266.0","1503.0","77.0"
"","COLUMBUS","2017.0","872205.0","2270.0","69.0","495.0","937.0","769.0","16437.0","3478.0","11109.0","1850.0","5.0"
"","","2018.0","","2071.0","54.0","390.0","850.0","777.0","14786.0","3008.0","9758.0","2020.0","7.0"
"","DAYTON","2017.0","140171.0","590.0","16.0","73.0","187.0","314.0","2869.0","843.0","1754.0","272.0","22.0"
"","","2018.0","","656.0","13.0","82.0","206.0","355.0","2978.0","810.0","1790.0","378.0","10.0"
"","TOLEDO6","2017.0","277116.0","1259.0","19.0","120.0","282.0","838.0","5398.0","1493.0","3531.0","374.0","12.0"
"","","2018.0","","1013.0","24.0","95.0","227.0","667.0","4996.0","1270.0","3402.0","324.0","3.0"
"1 The 2017 population figures are FBI estimates based on provisional data from the U.S. Census Bureau. See the data declaration for further explanation. ","","","","","","","","","","","","",""
"2 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation. ","","","","","","","","","","","","",""
"3 The FBI does not publish arson data unless it receives data from either the agency or the state for six months of at least one of the reporting years.","","","","","","","","","","","","",""
"4 Because of changes in the local agency's reporting practices, figures are not comparable to previous years' data.","","","","","","","","","","","","",""
"5 This agency/state submits rape data classified according to the legacy UCR definition; therefore the rape offense and violent crime total, which rape is a part of, is not included in this report for both years. See the data declaration for further explanation. ","","","","","","","","","","","","",""
"6 Arson offenses reported by the Toledo Fire Department are not included in this report.","","","","","","","","","","","","",""
